Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Europe & Central Asia,ECS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4068.42579459325,3873.34057918809,3735.59711314878,3571.16619588094,3675.25894805968,5026.95346855259,6170.49633440244,6841.78206172757,6934.38180792384,8531.36389781623,8789.26839893645,9535.97570402065,8671.47169355463,9107.76937590414,10439.2380140672,10691.9678887577,10174.8183802819,10532.7006453536,10422.7945974973,9776.45579573642,9815.28811933488,10686.6326042817,12971.3500489462,15123.3371730136,16053.3285209756,17286.2185549295,20060.9129552565,21669.6366826025,18994.8345840928,19493.7708934598,21486.3979621737,20576.4241985482,21396.730505604,21614.4209975549,18547.00127701,18419.5061299246,19460.5283290465,20717.6364915381,20309.5498286952,19438.524651541,21931.4447308293,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
